Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Combined (eV)	Unc. (eV)	Vapor (eV)	Unc. (eV)	Blend	Ref.
Au		KL1	66372.5	2.4	66400	21						1d
Au		KL2	66993.0	2.3	66990.73	0.22						5d
Au		KL3	68806.9	2.2	68804.50	0.18						5d
Au		KM1	77301.2	3.7								
Au		KM2	77577.3	3.5	77575.01	0.61						5d
Au		KM3	77983.0	3.7	77979.80	0.38						5d
Au		KM4	78435.1	3.0	78439.0	5.1						1d
Au		KM5	78520.3	2.9	78529.5	3.7						1d
Au		KN1	79963.3	4.8								
Au		KN2	80082.5	5.1	80076	15						1d
Au		KN3	80177.9	2.5	80186.2	6.9						1d
Au		KN4	80371.0	4.2	80391.1	3.9					KN4,5	1d
Au		KN5	80389.0	2.3	80391.1	3.9					KN4,5	1d
Au		K edge	80734.7	2.1	80721.3	3.9	80725.6	1.5				1d
Au		L1M1	10928.7	3.2	10921.15	0.71						1d
Au		L1M2	11204.8	3.0	11204.81	0.45						1d
Au		L1M3	11610.5	3.2	11610.5	1.4						1d
Au		L1M4	12062.6	2.4	12061.8	1.2						1d
Au		L1M5	12147.8	2.4	12147.6	1.2						1d
Au		L1N1	13590.8	4.3	13578.2	2.2						1d
Au		L1N2	13710.0	4.6	13709.70	0.67						1d
Au		L1N3	13805.4	2.0	13809.1	1.1						1d
Au		L1N4	13998.5	3.6	13999.3	1.6						1d
Au		L1N5	14016.6	1.8	14019.9	1.6						1d
Au		L1N6	14263.1	2.6								
Au		L1N7	14266.8	2.5								
Au		L1 edge	14362.2	1.6	14355.29	0.50	14352.9	7.5				13d
Au		L2M1	10308.2	2.6	10308.41	0.38						1d
Au		L2M2	10584.3	2.0	10589.5	1.3						1d
Au		L2M3	10990.0	2.1	10991.54	0.72						1d
Au		L2M4	11442.0	1.4	11442.45	0.47						1d
Au		L2M5	11527.2	1.3	11526.8	3.2						1d
Au		L2N1	12970.3	3.5	12974.43	0.60						1d
Au		L2N2	13089.4	3.5								
Au		L2N3	13184.89	0.91	13186.8	4.2						1d
Au		L2N4	13377.9	2.6	13381.79	0.64						1d
Au		L2N5	13396.01	0.71								
Au		L2N6	13642.5	1.5	13648.9	1.1						1d
Au		L2N7	13646.2	1.5								
Au		L2 edge	13741.67	0.52	13734.194	0.070	13735.8	1.8				13d
Au		L3M1	8494.3	1.8	8494.03	0.78						1d
Au		L3M2	8770.4	1.8	8770.31	0.64						1d
Au		L3M3	9176.1	2.0	9174.97	0.70						1d
Au		L3M4	9628.1	1.3	9628.05	0.33						1d
Au		L3M5	9713.3	1.2	9713.44	0.34						1d
Au		L3N1	11156.4	3.3	11160.33	0.45						1d
Au		L3N2	11275.5	3.4	11274.4	1.1						1d
Au		L3N3	11371.00	0.78	11371.8	1.1						1d
Au		L3N4	11564.0	2.5	11566.81	0.80						1d
Au		L3N5	11582.12	0.57	11584.75	0.48						1d
Au		L3N6	11828.7	1.4	11835.80	0.84					L3N6,7	1d
Au		L3N7	11832.3	1.4	11835.80	0.84					L3N6,7	1d
Au		L3 edge	11927.78	0.39	11919.694	0.060	11920.6	3.0				13d
